Map, LW, Light World, LightWorld.png
Map, HC, Hyrule Castle, hyrulecastle.png
Map, DW, Dark World, DarkWorld.png
Map, ZD, Zoras Domain, ZorasDomain.png
Map, EP, Eastern Palace, easternpalace.png
Map, DP, Desert Palace, desertpalace.png
Map, TOH, Tower Of Hera, towerofhera.png
Map, POD, Palace of Darkness, palaceofdarkness.png
Map, SP, Swamp Palace, swamppalace.png
Map, SW, Skull Woods, Skullwoods.png
Map, TT, Thieves Town, thievestown.png
Map, IP, Ice Palace, icepalace.png
Map, MM, Misery Mire, miserymire.png
Map, TR, Turtle Rock, turtlerock.png
Map, GT, Ganons Tower, ganonstower.png
Altar, LW, 82,99
Uncle, LW, 1198, 868
[cave-034] Hyrule Castle secret entrance, LW, 1197, 835
[cave-018] Graveyard - top right grave, LW, 1206, 594
[cave-047] Dam, LW, 942, 1877
[cave-040] Link's House, LW, 1097, 1385
[cave-031] Tavern, LW, 319, 1148
[cave-026] chicken house, LW, 198, 1083
[cave-044] Aginah's cave, LW, 396, 1653
[cave-035] Sahasrahla's Hut [left chest], LW, 1600, 910
[cave-035] Sahasrahla's Hut [center chest], LW, 1633, 910
[cave-035] Sahasrahla's Hut [right chest], LW, 1666, 910
[cave-021] Kakariko well [top chest], LW, 50, 820
[cave-021] Kakariko well [left chest row of 3], LW, 82, 836
[cave-021] Kakariko well [center chest row of 3], LW, 116, 836
[cave-021] Kakariko well [right chest row of 3], LW, 149, 836
[cave-021] Kakariko well [bottom chest], LW, 50, 853
[cave-022-B1] Thief's hut [top chest], LW, 259, 820
[cave-022-B1] Thief's hut [top left chest], LW, 239, 853
[cave-022-B1] Thief's hut [top right chest], LW, 281, 853
[cave-022-B1] Thief's hut [bottom left chest], LW, 230, 886
[cave-022-B1] Thief's hut [bottom right chest], LW, 290, 886
Blacksmiths, LW, 613, 1066
[cave-016] cave under rocks west of Santuary, LW, 784, 588
[cave-050] cave southwest of Lake Hylia [bottom left chest], LW, 1268, 1885
[cave-050] cave southwest of Lake Hylia [top left chest], LW,1284, 1852
[cave-050] cave southwest of Lake Hylia [top right chest], LW, 1350, 1852
[cave-050] cave southwest of Lake Hylia [bottom right chest], LW, 1369, 1885
[cave-051] Ice Cave, LW, 1800, 1550
Bottle Vendor, LW, 190, 934
Sahasrahla, LW, 1633, 943
Magic Bat, LW, 652, 1129
Sick Kid, LW, 316, 1076
Purple Chest, LW, 693, 1800
Hobo, LW, 1391, 1397
Bombos Tablet, LW, 442, 1845
King Zora, LW, 1850, 290
King Zora, ZD, 950, 40
Piece of Heart (Thieves' Forest Hideout), LW, 380, 263
Piece of Heart (Lumberjack Tree), LW, 604, 150
Piece of Heart (south of Haunted Grove), LW, 534, 1657
Piece of Heart (Graveyard), LW, 1144, 550
Piece of Heart (Desert - northeast corner), LW, 353, 1559
[cave-050] cave southwest of Lake Hylia - generous guy, LW, 1317, 1858
Library, LW, 313, 1330
Mushroom, LW, 244, 170
Witch, LW, 1605, 670
Piece of Heart (Maze Race), LW, 58, 1404
Piece of Heart (Desert - west side), LW, 45, 1832
Piece of Heart (Lake Hylia), LW, 1453, 1661
Piece of Heart (Dam), LW, 896, 1857
Piece of Heart (Zora's River), LW, 1883, 290
Piece of Heart (Zora's River), ZD, 437, 612
Haunted Grove item, LW, 577, 1327
[dungeon-C-1F] Sanctuary, LW,922, 535
[dungeon-C-B1] Escape - final basement room [left chest], LW, 1010, 584
[dungeon-C-B1] Escape - final basement room [left chest], HC, 1014, 362
[dungeon-C-B1] Escape - final basement room [middle chest], LW, 1043, 584
[dungeon-C-B1] Escape - final basement room [middle chest], HC, 1047, 362
[dungeon-C-B1] Escape - final basement room [right chest], LW, 1076, 584
[dungeon-C-B1] Escape - final basement room [right chest], HC, 1080, 362
[dungeon-C-B1] Escape - first B1 room, LW, 967, 878
[dungeon-C-B1] Escape - first B1 room, HC, 1539, 930
[dungeon-C-B1] Hyrule Castle - boomerang room, LW, 1000, 878
[dungeon-C-B1] Hyrule Castle - boomerang room, HC, 240, 401
[dungeon-C-B1] Hyrule Castle - map room, LW, 1033, 878
[dungeon-C-B1] Hyrule Castle - map room, HC, 427, 290
[dungeon-C-B3] Hyrule Castle - next to Zelda, LW, 1066, 878
[dungeon-C-B3] Hyrule Castle - next to Zelda, HC, 207, 41
[dungeon-L1-1F] Eastern Palace - compass room, LW, 1880, 782
[dungeon-L1-1F] Eastern Palace - compass room, EP, 200, 655
[dungeon-L1-1F] Eastern Palace - big chest, LW, 1913, 782
[dungeon-L1-1F] Eastern Palace - big chest, EP, 600, 740
[dungeon-L1-1F] Eastern Palace - big ball room, LW, 1946, 782
[dungeon-L1-1F] Eastern Palace - big ball room, EP, 684, 1091
[dungeon-L1-1F] Eastern Palace - Big key, LW, 1880, 815
[dungeon-L1-1F] Eastern Palace - Big key, EP, 365, 993
[dungeon-L1-1F] Eastern Palace - map room, LW, 1913, 815
[dungeon-L1-1F] Eastern Palace - map room, EP, 1022, 830
Heart Container - Armos Knights, LW, 1946, 815
Heart Container - Armos Knights, EP, 100, 100
Eastern Palace Pendant, LW, 1913, 848
Eastern Palace Pendant, EP, 67, 100
[dungeon-L2-B1] Desert Palace - big chest, LW, 110, 1590
[dungeon-L2-B1] Desert Palace - big chest, DP, 86, 878
[dungeon-L2-B1] Desert Palace - Map room, LW,143,1590
[dungeon-L2-B1] Desert Palace - Map room, DP,462, 883
[dungeon-L2-B1] Desert Palace - Small key room, LW,176,1590
[dungeon-L2-B1] Desert Palace - Small key room, DP,199, 874
[dungeon-L2-B1] Desert Palace - Big key room, LW,110,1623
[dungeon-L2-B1] Desert Palace - Big key room, DP, 846, 859
[dungeon-L2-B1] Desert Palace - compass room, LW,143,1623
